NOMBRE_COMPANIA|COMISION_COMPANIA|IDENTIFICACION_EMPLEADO|TELEFONO_EMPLEADO|NOMBRE_EMPLEADO|NUMERO_CUENTA|NUMERO_TARJETA|OPERADOR_TARJETA|VENCIMIENTO_TARJETA|SALDO_CUENTA|MONEDA|COTIZACION_USD
Prime Dynamics|9.26|021-96-9187|(111)913-1761|Mitchell Griffin|b478f141-c4f6-4101-b780-32a51671cb5e|213181256821803|American Express|08/29|4457.84|Pesos Argentinos|0.0028
BluePeak Systems|10.32|255-13-6196|(858)986-4391x296|Tracy Moss|4ede0d24-60b1-4ed0-9051-674b156f3c15|370002432217725|Visa|03/27|88918.92|Pesos Argentinos|0.0028
Apex Solutions|3.0|268-18-0669|(553)187-2453|Lisa Vaughn|84a1d474-a3d0-4df3-9148-5eb4a31df68c|371468505360685|Discover|03/27|76073.75|Pesos Argentinos|0.0028
BluePeak Systems|7.3|798-21-4292|4156043245|Samantha Walters|86d0b1d3-63ed-4429-8570-e7f8a0f3651e|4399916404009258|Discover|05/26|46543.09|Libra|1.3
TechNova|15.04|415-30-9553|+1-308-378-7995|Hannah Wilson|74360c39-90cf-4970-aac6-bf7fbe206b34|630452736907|Discover|06/26|40938.25|Dolar|1
Visionary Labs|3.87|630-96-8100|(622)667-3412x90421|Danielle Sanders DDS|712d1a34-dc1d-4bd5-9da4-0c9c780509ff|4586771495444697|UnionPay|04/29|18754.25|Yen|0.007
Prime Dynamics|13.28|024-64-8418|364.600.6814x00768|John Wallace|4fdd833c-fdbc-4024-9077-ef387147991a|3592909534613120|Discover|09/28|76905.53|Dolar Canadiense|0.75
NextGen Ventures|12.34|644-17-8145|727-475-8305x84689|Steven Gordon|af8c09eb-9113-41a6-bcc7-3a1904544cba|4530077198027921|UnionPay|09/29|48974.65|Real|0.19
TechNova|16.65|265-11-4956|(275)051-1914x495|Adam Webster|b0812f18-7016-4ea3-80e1-58c10afb7ae9|6531647676263638|Visa|03/27|36039.37|Dolar|1
GreenWave Inc.|7.37|074-18-7619|547-532-7253x72189|Monica Thompson|6e8c9a7b-b590-466b-8253-0229cc44020f|4245116554503426|American Express|05/26|68643.2|Libra|1.3
Apex Solutions|15.93|869-72-2606|318.410.6167x7220|Brittany Wilson|3d1beaa5-089a-4376-8f57-1d067725e3bc|6011419913462871|Discover|03/27|98837.41|Libra|1.3
NextGen Ventures|5.27|783-44-2861|+1-642-213-8571x5864|Anthony Bailey|bf01d529-89a2-49a4-87b1-8bcd6a95a0e9|30331276153155|American Express|01/26|46587.4|Euro|1.1
EcoSolutions|19.93|205-31-8966|759-784-4099x24388|Ashley Gonzales|025a17c4-030d-4983-9724-018e34ef3bf0|5278889986659530|UnionPay|09/27|47244.23|Dolar Canadiense|0.75
Apex Solutions|18.53|507-19-8514|001-072-018-0210x5431|Olivia Dennis|9a6fed58-9de2-4bbf-a24f-f63336af0b0d|378956360939075|American Express|12/24|5490.84|Pesos Argentinos|0.0028
TechNova|4.26|425-20-3296|925-447-5867|Derek Berg|225639d7-c90f-4c88-b51b-7a2babf487db|30565640374662|American Express|12/25|18929.94|Euro|1.1
GlobalCorp|17.99|184-62-3119|(931)488-2927|Timothy Hamilton|6bd3db87-e128-4d24-899c-390f9ed2fc41|4080119229355113|Discover|02/28|67367.53|Pesos Argentinos|0.0028
NextGen Ventures|2.25|501-17-5500|001-839-399-7941|Ryan Davis|2f841e08-8693-4eb0-b6b2-9c9aa4f164bf|4244527581169|Discover|12/24|29139.67|Real|0.19
Prime Dynamics|11.34|064-25-5628|(356)915-1797x43605|William Castro|06aba709-579f-4dac-8d0e-872251ecf9e4|30092289571649|Discover|11/28|69221.79|Dolar Canadiense|0.75
Skyline Ltd|4.64|291-04-6627|7124549277|Frederick Moore|a050a4ba-5665-492b-b209-58698d837ec2|572921687826|American Express|06/28|6861.57|Yen|0.007
GlobalCorp|1.96|842-44-2167|001-859-211-3137x306|Henry King|8b471922-73cf-4424-9ea9-d6cace53a0cf|213147637089659|Mastercard|09/26|20729.01|Euro|1.1
Apex Solutions|14.97|577-45-4811|(243)156-2449|Sharon Johnson|b12b737c-3381-4eb3-baaa-70b0de4c9e49|2227611938135784|Mastercard|09/25|934.73|Libra|1.3
Apex Solutions|19.42|792-22-2615|001-999-074-3807x10093|Paul Gonzalez|ff1ce2bc-d7f7-427d-bb12-d700e8bc5224|4258095483940965159|Mastercard|04/27|91385.27|Euro|1.1
EcoSolutions|5.05|847-99-5669|492-500-9606|Jeffrey Marshall|112378ef-0899-44f2-b68a-396449b51a5b|503897810019|Mastercard|12/25|10961.3|Dolar Canadiense|0.75
BluePeak Systems|8.72|403-50-9794|(381)006-6426|Fernando Fisher|87ed4632-779f-4132-b997-5202a9815f05|4930678035720|Discover|09/29|49945.79|Yen|0.007
TechNova|13.76|202-28-0585|145.542.2964|James Aguirre|d64a3902-ed51-4be0-99b2-bb8479467bfe|3526366287950988|American Express|10/26|19156.68|Euro|1.1
Skyline Ltd|19.94|222-66-6547|391.812.2405x1298|Catherine Butler|f19d26a2-c80c-48d5-8c71-6227c30e243b|639052083792|American Express|03/27|11682.84|Pesos Argentinos|0.0028
TechNova|10.88|799-54-0983|001-394-351-4754x04154|Gilbert Allen|acd54472-e715-48f0-b419-b0b462f8df74|4618425608085|Discover|08/28|68788.98|Yen|0.007
TechNova|18.2|702-15-4161|001-384-118-6852x214|Rebecca Blake|282025f0-ddd0-4ee4-8759-40b07e4f22fe|4438931735645129|Visa|11/28|95652.09|Libra|1.3
Apex Solutions|2.2|837-81-5755|217.675.9472x40617|Andrea Rodriguez|b65ab1c1-29ac-49bb-b5be-83807a73480f|6011416948090669|UnionPay|05/29|44877.96|Libra|1.3
NextGen Ventures|8.22|377-30-4021|(118)924-5783|Chase George|2f1ad8bb-be00-4c7b-8a74-d52689a2bb4b|4205218593181780|Mastercard|02/29|4771.58|Real|0.19
BluePeak Systems|11.21|294-43-1485|064.853.9541|Joanna Anderson|b30539fa-d4ee-4db6-a7bb-c77e011ffbca|4745470553555639|UnionPay|01/25|66780.62|Dolar Canadiense|0.75
Prime Dynamics|14.06|404-81-9520|+1-469-081-5062|Calvin Douglas|722738ac-9188-4adc-907d-18c3f872f39e|180035391365408|Mastercard|06/25|95998.86|Real|0.19
Apex Solutions|2.61|472-36-6252|270.202.9015|Mary Hancock|e43e9624-446d-41fa-ae84-1d0049a5bfba|30449585798039|American Express|12/25|83923.32|Pesos Argentinos|0.0028
GlobalCorp|13.54|759-28-3803|210-981-9967|Jennifer Fitzgerald|31ead0d3-61c7-4574-9dc9-1150502b5601|4832948469807990|Mastercard|12/26|99017.38|Pesos Argentinos|0.0028
Prime Dynamics|1.89|403-34-9121|+1-415-948-4771x94516|Natalie Pacheco|fb88dfb2-7616-49bc-bbb0-fdf678a50fb4|3591839000471805|American Express|02/29|91125.96|Pesos Argentinos|0.0028
EcoSolutions|10.76|759-31-4495|443.697.7450x99941|Brandon Cruz|e6ac360b-554f-4deb-a82b-1867a9e76280|4493287747112804557|Mastercard|12/27|78247.12|Libra|1.3
NextGen Ventures|2.59|059-50-5591|(470)884-5495|Robert Calderon|5913423a-cee9-4403-a048-a03e7267b5f4|30259447072352|Mastercard|11/26|2094.91|Libra|1.3
EcoSolutions|11.79|117-83-0781|(769)050-0743x2716|Deborah Taylor|35e2567a-63c3-4a0d-a318-b039aeffa25b|576894157956|UnionPay|02/27|51559.99|Real|0.19
NextGen Ventures|3.29|343-30-0775|001-837-806-5083x1830|Kimberly Edwards|a1f7f335-97d2-4145-8e33-3f866c97eb9e|3597876274205455|Visa|03/27|57808.86|Euro|1.1
Visionary Labs|2.71|235-51-0090|1295920082|Brittney Taylor|74f0c0cd-850d-40eb-b5c9-2148d946ebf5|213166054590395|Mastercard|12/24|49282.77|Libra|1.3
NextGen Ventures|4.43|377-99-6019|195-516-3594x23829|Rodney Bowers|8822bfed-8ae2-45b4-afa0-df8581f3e128|2279989192547473|Mastercard|06/26|32172.51|Dolar|1
Apex Solutions|4.12|405-54-5905|524-257-1554|Heather Hernandez|0d0093f7-8b15-45ff-ad85-c92f9ec3afa6|4297969305208|Visa|08/28|76131.1|Euro|1.1
Skyline Ltd|4.19|419-73-1552|6493609369|Sarah Snyder|a802d3d8-80d7-457e-abe7-66e2dc379020|6560422518972968|Visa|10/26|1273.96|Libra|1.3
TechNova|8.73|736-17-4186|7575834907|Denise Brooks|e808bdac-935d-4c3c-b914-3651e4aa2a44|4303962498326975790|American Express|01/26|32106.82|Yen|0.007
BluePeak Systems|18.72|032-96-9819|(654)247-4693x7327|Joy Doyle|f07135a5-b1b9-4077-bd44-011cb54dbb08|3538461442234224|Visa|11/27|2040.14|Real|0.19
Prime Dynamics|15.53|215-74-9716|(012)494-4204|Sara Rodriguez|74daa2ec-fab7-451e-816d-2017627c452c|4988418800569759310|American Express|07/28|13800.67|Dolar|1
EcoSolutions|9.69|432-86-1371|001-485-200-2650|George Vargas|4a46a65c-6644-49c7-8dab-4e96bc8397b9|3581198335862010|UnionPay|03/25|1089.87|Libra|1.3
EcoSolutions|3.78|653-46-3405|(916)351-1243x23663|Alexandra Boyd|1b3cb7ea-d407-4dcd-9de0-18e9e7844b90|6011819554837937|Discover|09/29|21118.93|Euro|1.1
BluePeak Systems|11.01|053-73-1773|610-155-1941x349|James Hernandez|6bb5a06f-46a2-4028-b268-698489a03d6d|342320907788367|Visa|12/26|76998.74|Pesos Argentinos|0.0028
Visionary Labs|8.41|223-80-1595|241-773-7473x72939|Jeffrey Myers|153166e9-66d3-4aea-a09c-9ac618c68754|4139594047363492|UnionPay|07/27|79399.31|Pesos Argentinos|0.0028
Skyline Ltd|14.89|026-47-0573|(098)000-6947x50861|Robert Williams|88512443-6ad8-4db5-8ede-0f40b79733b4|340519081980391|American Express|11/29|98590.8|Pesos Argentinos|0.0028
Apex Solutions|12.92|422-36-1651|212-833-7946|Joseph Freeman|d509abf4-0d8a-4e37-8015-5170dbf00de0|2242671331267643|Visa|07/26|91473.27|Dolar Canadiense|0.75
Visionary Labs|13.91|563-05-9051|001-627-920-4697x796|Mark Patel|67e6972e-fda3-48ca-a2e5-1c318dd4d215|2268835438644652|Visa|08/27|67788.27|Libra|1.3
